,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,busselton,89,AU,1570315431,71,-33.64,115.35,52.0,6.33
1,punta arenas,75,CL,1570315431,65,-53.16,-70.91,46.4,10.29
2,chapais,1,CA,1570315431,57,49.78,-74.86,48.2,3.36
3,albany,20,US,1570315432,70,42.65,-73.75,55.4,4.7
4,hermanus,65,ZA,1570315432,92,-34.42,19.24,57.0,11.72
5,rizhao,97,CN,1570315432,54,35.43,119.46,53.84,6.13
6,geraldton,90,CA,1570315433,75,49.72,-86.95,46.4,13.87
7,saint john,5,CA,1570315433,57,45.28,-66.06,50.0,5.82
8,provideniya,100,RU,1570315433,92,64.42,-173.23,31.2,6.58
9,rikitea,100,PF,1570315433,79,-23.12,-134.97,71.19,20.94
10,ushuaia,0,AR,1570315230,65,-54.81,-68.31,41.0,17.22
11,bonthe,100,SL,1570315434,89,7.53,-12.5,77.49,5.93
12,puerto ayora,0,EC,1570315434,64,-0.74,-90.35,75.2,21.92
13,mataura,90,NZ,1570315217,71,-46.19,168.86,52.0,3.0
14,buala,4,SB,1570315434,68,-8.15,159.59,84.04,3.51
15,cabra,53,ES,1570315435,56,37.47,-4.43,70.0,0.47
16,saskylakh,60,RU,1570315435,92,71.97,114.09,13.68,3.36
17,severo-kurilsk,100,RU,1570315435,93,50.68,156.12,42.81,29.28
18,cobija,75,BR,1570315435,94,-11.02,-68.77,75.2,6.93
19,pacific grove,1,US,1570315436,23,36.62,-121.92,86.0,9.17
20,portland,1,US,1570315198,54,43.66,-70.25,53.6,6.93
21,desaguadero,88,PE,1570315436,77,-16.56,-69.04,39.87,6.69
22,matay,0,EG,1570315436,57,28.42,30.79,70.72,10.51
23,bambous virieux,40,MU,1570315437,94,-20.34,57.76,72.0,5.82
24,bredasdorp,38,ZA,1570315437,72,-34.53,20.04,60.8,1.12
25,klaksvik,94,FO,1570315437,81,62.23,-6.59,50.0,34.45
26,haines junction,95,CA,1570315438,85,60.75,-137.51,32.91,4.12
27,kidal,100,ML,1570315438,26,18.44,1.41,90.4,9.08
28,astoria,75,US,1570315438,72,46.19,-123.83,62.6,6.93
29,tiksi,99,RU,1570315439,92,71.64,128.87,18.43,4.83
30,vidisha,100,IN,1570315439,83,23.52,77.8,73.39,2.19
31,kailua,75,US,1570315439,65,21.39,-157.74,87.8,9.17
32,mahebourg,40,MU,1570315439,94,-20.41,57.7,72.0,5.82
33,cape town,0,ZA,1570315274,72,-33.93,18.42,59.0,4.7
34,rawson,84,AR,1570315440,35,-43.3,-65.11,55.06,9.73
35,ranot,100,TH,1570315440,84,7.78,100.32,76.74,4.7
36,bluff,0,AU,1570315440,40,-23.58,149.07,77.1,2.91
37,castro,90,CL,1570315440,71,-42.48,-73.76,50.0,8.05
38,georgetown,75,GY,1570315441,78,6.8,-58.16,82.4,6.93
39,guerrero negro,0,MX,1570315441,71,27.97,-114.04,70.29,13.47
40,talnakh,90,RU,1570315441,95,69.49,88.39,32.0,6.71
41,atuona,14,PF,1570315442,73,-9.8,-139.03,80.35,17.78
42,carnarvon,0,ZA,1570315442,11,-30.97,22.13,64.01,8.25
43,acari,42,BR,1570315442,68,-6.44,-36.64,75.1,25.05
44,hobart,75,AU,1570315423,71,-42.88,147.33,55.99,2.24
45,cayenne,0,GF,1570315443,88,4.94,-52.33,78.8,2.24
46,baykit,96,RU,1570315443,89,61.68,96.39,27.33,8.7
47,shelburne,1,CA,1570315443,62,44.08,-80.2,53.6,11.41
48,tomatlan,29,MX,1570315444,80,19.93,-105.25,82.39,10.36
49,jamestown,0,AU,1570315213,51,-33.21,138.6,65.94,16.11
50,port-gentil,75,GA,1570315444,88,-0.72,8.78,78.8,12.75
51,thunder bay,90,CA,1570315290,93,48.41,-89.26,48.99,12.75
52,rovnoye,100,RU,1570315445,49,50.78,46.06,58.93,14.2
53,bluefield,90,US,1570315445,62,37.27,-81.22,60.8,8.05
54,sumbe,100,AO,1570315445,96,-11.2,13.84,71.55,6.22
55,angoram,92,PG,1570315446,76,-4.06,144.07,82.24,3.87
56,arraial do cabo,0,BR,1570315446,78,-22.97,-42.02,72.94,19.35
57,sitges,40,ES,1570315446,88,41.24,1.82,70.0,3.11
58,pierre,20,US,1570315446,38,44.37,-100.35,62.01,21.92
59,iqaluit,75,CA,1570315446,74,63.75,-68.52,33.8,8.05
60,vaini,90,IN,1570315447,94,15.34,74.49,73.86,1.66
61,yar-sale,100,RU,1570315447,97,66.83,70.83,37.91,16.71
62,port alfred,0,ZA,1570315447,94,-33.59,26.89,61.0,3.06
63,dikson,8,RU,1570315447,73,73.51,80.55,22.88,13.18
64,gat,20,SN,1570315448,88,14.69,-16.54,78.8,5.82
65,constitucion,75,MX,1570315448,29,23.99,-104.67,78.01,6.93
66,kavieng,14,PG,1570315448,68,-2.57,150.8,83.92,6.02
67,manokwari,96,ID,1570315372,69,-0.87,134.08,79.2,2.71
68,nanuque,31,BR,1570315448,86,-17.84,-40.35,69.55,7.76
69,thompson,90,CA,1570315449,87,55.74,-97.86,44.6,2.24
70,yokadouma,6,CM,1570315449,97,3.52,15.05,68.31,1.32
71,barrow,3,AR,1570315449,91,-38.31,-60.23,41.69,6.02
72,acajutla,40,SV,1570315449,70,13.59,-89.83,84.2,8.05
73,asuncion,90,PY,1570315450,93,-25.3,-57.63,64.4,6.93
74,vanavara,99,RU,1570315450,92,60.35,102.28,30.42,7.0
75,aklavik,75,CA,1570315450,41,68.22,-135.01,41.0,17.22
76,kungurtug,19,RU,1570315451,59,50.6,97.53,29.56,2.68
77,nouadhibou,0,MR,1570315451,88,20.93,-17.03,68.0,16.11
78,deputatskiy,100,RU,1570315451,85,69.3,139.9,12.67,2.37
79,kavaratti,76,IN,1570315451,67,10.57,72.64,81.67,0.87
80,indramayu,98,ID,1570315452,56,-4.05,103.78,67.7,4.0
81,aswan,0,EG,1570315452,15,24.09,32.9,84.85,13.94
82,sao joao da barra,0,BR,1570315452,82,-21.64,-41.05,70.11,1.74
83,kloulklubed,75,PW,1570315452,88,7.04,134.26,80.6,4.7
84,antalaha,22,MG,1570315452,98,-14.9,50.28,64.62,3.18
85,coihaique,75,CL,1570315453,57,-45.58,-72.07,48.2,6.93
86,williston,1,US,1570315453,50,48.15,-103.62,60.8,23.04
87,malaya serdoba,100,RU,1570315453,82,52.47,44.96,56.76,14.41
88,husavik,100,CA,1570315453,93,50.56,-96.99,45.0,8.99
89,russkiy kameshkir,100,RU,1570315453,85,52.86,46.09,54.88,10.67
90,concepcion del oro,95,MX,1570315454,35,24.63,-101.42,72.92,5.37
91,richards bay,2,ZA,1570315454,88,-28.77,32.06,69.99,21.74
92,superior,1,US,1570315454,14,39.95,-105.17,69.01,9.17
93,victoria,75,BN,1570315454,78,5.28,115.24,80.6,4.7
94,saldanha,50,PT,1570315455,70,41.42,-6.55,56.76,4.36
95,hilo,20,US,1570315455,58,19.71,-155.08,87.8,9.17
96,burgersdorp,0,ZA,1570315455,10,-30.99,26.32,53.64,3.2
97,san nicolas,6,PH,1570315455,83,16.07,120.76,75.49,5.71
98,loreto,100,PY,1570315455,94,-23.27,-57.32,64.15,5.7
99,tasiilaq,100,GL,1570315456,65,65.61,-37.64,44.6,27.51
100,harer,90,US,1570315456,52,42.19,-111.17,55.0,9.17
101,safipur,40,IN,1570315456,94,26.74,80.34,75.2,3.36
102,ribeira grande,17,PT,1570315456,93,38.52,-28.7,71.75,21.36
103,mar del plata,71,AR,1570315272,37,-46.43,-67.52,52.35,5.66
104,carbonia,0,IT,1570315457,82,39.17,8.53,66.99,4.7
105,upernavik,100,GL,1570315457,98,72.79,-56.15,32.98,5.84
106,banamba,37,ML,1570315457,65,13.55,-7.45,79.56,9.44
107,olds,40,CA,1570315457,35,51.79,-114.11,55.4,13.87
108,lompoc,1,US,1570315458,31,34.64,-120.46,84.2,12.75
109,maceio,40,BR,1570315458,88,-9.67,-35.74,73.4,11.41
110,sassandra,97,CI,1570315458,90,4.95,-6.09,75.51,5.94
111,hofn,100,IS,1570315459,99,64.25,-15.21,39.51,11.3
112,hithadhoo,100,MV,1570315459,71,-0.6,73.08,81.74,4.65
113,east london,0,ZA,1570315321,57,-33.02,27.91,63.47,3.49
114,calabozo,83,VE,1570315460,85,8.92,-67.43,77.62,3.89
115,taltal,0,CL,1570315351,80,-25.41,-70.49,52.53,3.53
116,faya,20,SA,1570315460,42,18.39,42.45,69.8,4.7
117,bereda,75,ES,1570315461,87,43.27,-7.54,64.0,4.7
118,andra,93,RU,1570315461,86,62.52,65.89,49.29,11.24
119,ende,0,ID,1570315461,80,-8.84,121.65,77.74,2.58
120,caravelas,0,BR,1570315461,81,-17.73,-39.27,74.29,11.41
121,isiro,100,CD,1570315462,97,2.77,27.62,67.57,1.45
122,kaitangata,84,NZ,1570315462,57,-46.28,169.85,53.01,11.01
123,harper,1,US,1570315462,31,30.3,-99.24,91.4,5.82
124,port elizabeth,20,US,1570315462,58,39.31,-74.98,61.0,6.93
125,duldurga,100,RU,1570315463,55,50.67,113.59,40.86,10.38
126,salinas,0,US,1570315463,14,36.67,-121.66,86.0,11.41
127,grand gaube,40,MU,1570315463,94,-20.01,57.66,72.0,5.82
128,gerash,1,IR,1570315464,84,27.67,54.14,73.51,8.61
129,lieksa,79,FI,1570315464,95,63.32,30.02,26.61,3.81
130,butaritari,37,KI,1570315464,63,3.07,172.79,85.03,4.97
131,toamasina,75,MG,1570315465,94,-18.17,49.38,73.4,6.93
132,yellowknife,75,CA,1570315465,80,62.45,-114.38,41.0,6.93
133,faanui,60,PF,1570315465,74,-16.48,-151.75,79.58,11.83
134,tuktoyaktuk,90,CA,1570315465,93,69.44,-133.03,35.6,21.92
135,ponta do sol,22,BR,1570315466,53,-20.63,-46.0,74.31,12.17
136,srednekolymsk,10,RU,1570315466,75,67.46,153.71,21.8,3.94
137,shunyi,100,CN,1570315466,93,40.13,116.65,60.01,2.24
138,ancud,90,CL,1570315466,71,-41.87,-73.83,50.0,8.05
139,praia da vitoria,40,PT,1570315467,88,38.73,-27.07,73.4,19.68
140,fare,63,PF,1570315467,74,-16.7,-151.02,79.06,11.21
141,somerset,1,US,1570315184,66,41.77,-71.13,54.0,5.73
142,salinopolis,2,BR,1570315467,79,-0.61,-47.36,81.6,15.55
143,tocopilla,0,CL,1570315467,43,-22.09,-70.2,49.36,3.02
144,lebu,75,ET,1570315468,77,8.96,38.73,59.0,4.7
145,san cristobal,77,HN,1570315468,87,14.68,-86.92,71.35,4.12
146,adrar,0,DZ,1570315468,15,27.87,-0.29,77.0,14.99
147,muisne,75,EC,1570315468,78,0.61,-80.02,80.6,13.87
148,bafq,0,IR,1570315469,35,31.6,55.4,50.28,1.88
149,hamilton,75,CA,1570315219,76,43.26,-79.87,57.0,18.34
150,cidreira,100,BR,1570315469,89,-30.17,-50.22,59.85,7.0
151,seoul,1,KR,1570315469,71,37.57,126.98,57.2,3.36
152,chuy,100,UY,1570315470,81,-33.69,-53.46,53.21,9.75
153,nuuk,75,GL,1570315470,86,64.17,-51.74,37.4,13.87
154,loei,12,TH,1570315470,92,17.49,101.72,69.28,2.24
155,coahuayana,12,MX,1570315471,82,18.62,-100.35,77.91,1.68
156,maroantsetra,86,MG,1570315471,99,-15.43,49.74,65.49,3.09
157,severnoye,98,RU,1570315471,45,54.09,52.54,52.85,10.89
158,kruisfontein,0,ZA,1570315471,90,-34.0,24.73,57.89,13.53
159,rodionovo-nesvetayskaya,20,RU,1570315471,77,47.61,39.7,68.0,11.18
160,tuatapere,67,NZ,1570315472,71,-46.13,167.69,52.0,3.0
161,saint george,20,GR,1570315472,59,39.45,22.34,62.6,5.08
162,souillac,90,FR,1570315472,87,45.6,-0.6,63.0,4.7
163,padang,99,ID,1570315472,82,-0.92,100.36,78.37,13.98
164,nemuro,65,JP,1570315473,59,43.32,145.57,53.21,10.74
165,ilulissat,68,GL,1570315473,86,69.22,-51.1,37.4,6.93
166,lata,98,IN,1570315473,49,30.78,78.62,31.9,3.57
167,thinadhoo,99,MV,1570315473,72,0.53,72.93,81.43,6.64
168,petatlan,20,MX,1570315474,62,17.52,-101.27,89.6,9.17
169,cherskiy,100,RU,1570315474,93,68.75,161.3,21.67,12.37
170,beira,75,ES,1570315474,87,43.2,-8.36,64.0,4.7
171,sayyan,62,YE,1570315474,73,15.17,44.32,68.2,2.19
172,batsfjord,100,NO,1570315474,87,70.63,29.72,41.35,12.33
173,leningradskiy,100,RU,1570315475,96,69.38,178.42,33.09,33.31
174,kenai,90,US,1570315475,42,60.55,-151.26,50.0,14.99
175,chokurdakh,99,RU,1570315475,84,70.62,147.9,20.25,11.92
176,port blair,97,IN,1570315475,67,11.67,92.75,82.32,4.05
177,cururupu,34,BR,1570315476,92,-1.82,-44.87,73.82,2.86
178,kapaa,90,US,1570315476,74,22.08,-159.32,84.2,11.41
179,vila,0,IT,1570315476,87,45.18,8.4,60.01,5.82
180,kahului,90,US,1570315476,65,20.89,-156.47,87.8,9.17
181,saint-philippe,1,CA,1570315477,70,45.36,-73.48,52.0,5.95
182,auki,91,NG,1570315477,92,12.18,6.51,72.43,4.43
183,hailin,0,CN,1570315477,49,44.57,129.38,40.72,3.65
184,sabang,0,PH,1570315478,94,13.8,121.11,75.99,3.85
185,isangel,75,VU,1570315478,69,-19.55,169.27,78.8,5.82
186,garmsar,0,IR,1570315478,54,35.22,52.34,47.99,2.24
187,moen,20,BE,1570315478,81,50.77,3.4,52.0,6.93
188,avarua,100,CK,1570315479,53,-21.21,-159.78,73.4,8.05
189,torbay,40,CA,1570315479,86,47.66,-52.73,39.99,12.75
190,perumpavur,75,IN,1570315479,100,10.13,76.48,75.2,2.15
191,yongan,99,CN,1570315479,50,39.7,113.69,49.83,5.77
192,el dorado,40,TT,1570315480,83,10.65,-61.37,82.99,11.41
193,santa rosalia,40,IT,1570315480,73,38.07,13.27,73.99,19.46
194,hambantota,20,LK,1570315480,100,6.12,81.12,75.2,2.24
195,kudahuvadhoo,98,MV,1570315480,73,2.67,72.89,81.99,8.68
196,norman wells,75,CA,1570315480,70,65.28,-126.83,44.6,2.24
197,kindu,11,CD,1570315481,96,-2.95,25.92,69.37,2.28
198,lagoa,0,PT,1570315481,68,37.14,-8.45,66.2,8.05
199,ossora,84,RU,1570315481,66,59.24,163.07,39.4,19.39
200,tiarei,40,PF,1570315482,69,-17.53,-149.33,82.4,16.11
201,katsuura,75,JP,1570315482,88,33.93,134.5,69.8,2.24
202,odesskoye,64,RU,1570315482,70,54.21,72.97,51.09,5.19
203,hasaki,75,JP,1570315482,88,35.73,140.83,70.0,10.29
204,broome,54,GB,1570315483,87,52.47,1.45,55.99,5.82
205,sturgeon falls,75,CA,1570315483,67,46.36,-79.93,53.01,11.41
206,neryungri,99,RU,1570315483,83,56.66,124.71,30.89,4.11
207,ripollet,90,ES,1570315484,82,41.5,2.16,70.0,3.2
208,jutai,73,BR,1570315484,96,-1.71,-47.89,73.78,2.21
209,kodiak,1,US,1570315484,52,39.95,-94.76,71.6,12.75
210,port hardy,40,CA,1570315334,82,50.7,-127.42,55.4,3.36
211,soto,0,AR,1570315484,51,-32.81,-61.4,62.6,6.93
212,poykovskiy,0,RU,1570315485,93,61.23,73.33,51.8,8.95
213,airai,1,TL,1570315485,32,-8.93,125.41,76.66,6.37
214,nouakchott,0,MR,1570315485,88,18.08,-15.98,80.6,9.17
215,poum,22,MK,1570315485,91,41.28,20.71,42.86,0.69
216,corn island,54,NI,1570315485,71,12.17,-83.04,84.93,9.53
217,ilinskiy,75,RU,1570315486,87,55.62,38.12,45.0,11.18
218,new norfolk,75,AU,1570315486,71,-42.78,147.06,55.99,2.24
219,suibara,75,JP,1570315486,88,37.83,139.23,64.4,16.11
220,sao felix do xingu,31,BR,1570315486,88,-6.64,-51.99,73.26,2.06
221,ixtapa,40,MX,1570315487,74,20.71,-105.21,87.8,10.29
222,ust-maya,73,RU,1570315487,79,60.42,134.54,28.86,4.7
223,dubno,100,UA,1570315487,93,50.42,25.75,39.2,2.24
224,nanortalik,68,GL,1570315487,80,60.14,-45.24,41.33,4.05
225,guardiagrele,40,IT,1570315488,93,42.2,14.22,60.01,2.24
226,almaznyy,20,RU,1570315488,77,48.03,40.04,68.0,11.18
227,shakawe,38,BW,1570315488,46,-18.36,21.84,69.41,4.45
228,huai thalaeng,40,TH,1570315488,100,15.0,102.65,80.01,6.08
229,vao,88,EE,1570315489,77,59.1,26.19,36.9,5.97
230,qaanaaq,100,GL,1570315489,72,77.48,-69.36,22.95,4.52
231,gryfino,0,PL,1570315489,93,53.25,14.49,41.0,3.36
232,klin,90,RU,1570315489,86,56.34,36.74,39.2,11.18
233,longyearbyen,75,NO,1570315490,74,78.22,15.63,37.4,23.04
234,sitka,0,US,1570315490,35,37.17,-99.65,72.0,10.0
235,tullow,75,IE,1570315490,93,52.8,-6.74,55.4,12.75
236,coquimbo,0,CL,1570315491,71,-29.95,-71.34,57.2,12.75
237,nikolskoye,0,RU,1570315491,92,59.7,30.79,33.01,4.47
238,san vicente,20,EC,1570315491,78,-0.59,-80.41,77.0,13.87
239,huai yot,100,TH,1570315491,90,7.79,99.63,74.86,0.76
240,shimoda,40,JP,1570315492,88,34.7,138.93,73.99,5.82
241,japura,98,ID,1570315492,83,-0.42,102.29,74.25,1.57
242,henties bay,4,NA,1570315492,92,-22.12,14.28,56.74,9.57
243,krasnyy chikoy,97,RU,1570315493,76,50.36,108.75,32.62,4.63
244,la ronge,90,CA,1570315493,87,55.1,-105.3,48.2,10.29
245,fort frances,90,CA,1570315493,93,48.61,-93.4,46.99,5.82
246,barranco,8,BR,1570315493,97,-20.59,-41.2,59.15,4.97
247,guanhaes,3,BR,1570315494,91,-18.77,-42.93,63.31,3.18
248,marawi,4,PH,1570315494,85,8.0,124.29,75.0,5.99
249,bathsheba,20,BB,1570315490,78,13.22,-59.52,82.4,13.87
250,guadalupe y calvo,100,MX,1570315495,93,26.09,-106.96,61.99,0.27
251,bethel,75,US,1570315495,93,60.79,-161.76,41.0,12.75
252,port lincoln,27,AU,1570315495,87,-34.72,135.86,57.87,15.77
253,harlingen,90,NL,1570315222,87,53.18,5.41,53.6,8.05
254,cabo san lucas,20,MX,1570315438,62,22.89,-109.91,89.01,9.17
255,sao filipe,8,CV,1570315496,81,14.9,-24.5,77.67,12.44
256,pisco,75,PE,1570315496,30,-13.71,-76.2,71.6,23.04
257,khuzhir,100,RU,1570315496,96,53.19,107.35,30.91,12.75
258,kaeo,18,NZ,1570315496,89,-35.1,173.78,69.01,8.52
259,ila,0,NO,1570315497,74,63.43,10.37,35.6,6.93
260,fort morgan,1,US,1570315497,11,40.25,-103.8,66.2,4.7
261,tambovka,100,RU,1570315497,49,47.32,47.38,59.08,12.26
262,petropavlovsk-kamchatskiy,90,RU,1570315497,100,53.05,158.65,33.8,4.47
263,yamada,75,JP,1570315498,93,36.58,137.08,64.4,6.93
264,tiznit,0,MA,1570315498,71,29.7,-9.73,71.35,7.11
